name,line
JAKE," This job is eating me alive. I can't breathe anymore. I spent all these years trying to be the good guy, the man in the white hat. I'm not becoming like them. I am them."
AMY," Hey! What are you doing, weirdo?"
JAKE," I'm doing the best speech from Donnie Brasco. Or actually, ten of me are doing the best speech from Donnie Brasco. [He stares at the screens of himself.] 'Sup?"
AMY," Get it together, man. Okay?"
AMY," So the store was hit about two hours ago. They took mostly tablets, laptops, and cameras."
JAKE, Sorry.
AMY," I'd like a list of all your employees, whoever had access to the store. I'd also like to apologize for my partner. His parents didn't give him enough attention."
JAKE," Uh, Detective... I already solved the case. We're looking for three white males, one of whom has sleeve tats on both arms."
AMY, And how do you know that?
JAKE," I had an informant on the inside. He's been here for years. Watching, learning. Waiting. His code name? [He holds up a stuffed bear.] Fuzzy Cuddle bear. He's a nanny cam. [He flips the bear over to show the electronic device inside, which appears to be the end of a You got lucky."
JAKE," No, I got here five minutes before you and figured that in this gigantic electronics store, there had to be at least one working camera. [He plugs the camera into the TV screens, broadcasting the recorded video of two guys stealing. We see their face clearly.] Oh! Hi, bad guys! [He looks to the bear] You did it, fuzzy. You busted 'em. It's time to come home."
JAKE,"  I'm not sure if I can. I've been undercover so long, I've forgotten who I am. I have seen terrible things. I haven't known the touch of a woman in many moons."
AMY, All right.
JAKE, Detective Santiago! Don't walk away from me!
JAKE," Yes, I did crack the case. So, Santiago, would you do the honors?"
AMY, I hate this!
JAKE," Ah, yeah. And you're just gonna add one."
JAKE, I'm winning.
AMY, I hate this!
JAKE, It's a good feeling. It's a good feeling. Yeah.
AMY, Enjoy it while it lasts.
JAKE, I will!
TERRY," JP, update on the Morgenthau murder?"
CHARLES, I think it was flan.
JAKE, Charles thinks it was flan. I think it was butterscotch pudding.
ROSA, Maybe it was just old person gunk. You know how old people always have that gunk on them.
JAKE," Oldie gunk. Could be, yeah. Anyone else?"
TERRY, How about we focus on the murder and not the old person gunk?
AMY, Crime techs are at the scene now. We're heading back when they're done.
TERRY," Okay, I want you on this. It's gonna be priority one for the new C.O."
ROSA," Wait, tell us about the new Captain."
TERRY, Captain Holt will be here soon. He'll wanna introduce himself. Dismissed.
CHARLES," Hey, Gina. You know any scalpers? I wanna ask Rosa to go to the Rihanna concert with me, but it's sold out. [The camera zones on Rosa at the end of the room, getting a paper out of the file box.]"
GINA," Okay, two points to make here. First, Rihanna... You... [She looks disappointing.] And then Rihanna. [She flares her hands in the air to emphasize on the point.]"
CHARLES, Yeah. What's your second point?
GINA, She's got a type. Which is really anyone but you.
CHARLES," Yeah, that was my ex-wife's type too."
GINA," Look, a Rihanna concert's a pretty big swing, man. I don't know. She's into watching old movies."
CHARLES, Cool. Where would I find a place that shows old movies?
GINA," Oh, yeah, just go on the Internet and search for the phrase ""I want to buy two movie tickets for a girl who doesn't like me."""
CHARLES, Great. Thank you.
GINA, Good...
AMY," Hey, you heard anything about the new Captain?"
JAKE," Uh, no, and I don't care. I just wish Captain McGintley never left, he was the best."
AMY, He was terrible. You just liked him 'cause he let you do anything you wanted.
JAKE," On your marks, get set..."
MCGINTLEY, What the hell's going on around here?
JAKE, Fire extinguisher roller chair derby?
MCGINTLEY, Okay.
JAKE, And go!
JAKE, Yeah!
JAKE, What's your point?
AMY," If I'm ever gonna make Captain, I need a good mentor. I need my rabbi."
JAKE," Sorry, dude. But this new guy's gonna be another washed-up pencil pusher who's only concerned with [He imitates a robot.] Following every rule in the patrol guide. Meep morp zeep. Robot Captain Engage."
MAN, Is that what you think?
JAKE, He-hey! New Captain alert. You must be the new C.O. I'm Detective Jake Peralta. Great to meet you.
HOLT, Now don't let me interrupt. You were describing what kind of person I'm gonna be. I'd like you to finish.
JAKE," That's not necessary.Or I could recap very quickly, sure. Um, let's see. I think I said some joke about being a washed-up pencil pusher."
HOLT, Now do the robot voice.
JAKE, Which-
HOLT, The robot voice you were doing when you implied I'm a rule-following robot. I wanna hear it again.
JAKE, Meep morp zarp. Robot.
HOLT, That's a terrible robot voice.
JAKE, Yep.
HOLT," The next time I see you, I'd like you to be wearing a necktie."
JAKE," Oh, actually, the last Captain didn't care if we wore ties."
HOLT," Well, your new Captain does. And more importantly, he cares that you follow his direct orders. [He then turns to the rest of the detectives and officers in the precinct.] Everyone, I'm your new commanding officer, Captain Ray Holt."
AMY, Speech!
HOLT, That was my speech.
AMY, Short and sweet.
HOLT," Sergeant Jeffords, a word. "
TERRY," Yes, sir."
AMY, I love that guy.
JAKE, Same!
GINA, He's so suave. Does anyone get a little bit of a gay vibe? [Everyone is quiet.] No? Okay.
HOLT," Sergeant, you were in the 1-8 with me. Though you were significantly..."
